
Training: 0it [00:00, ?it/s]
Training:   0%|          | 0/250 [00:00<?, ?it/s]
Epoch 0:   0%|          | 0/250 [00:00<?, ?it/s] 
Epoch 0:   0%|          | 1/250 [00:00<00:09, 27.34it/s]
Epoch 0:   0%|          | 1/250 [00:00<00:09, 26.99it/s, loss=-158, v_num=91, train/objective=-158.]
Epoch 0:   1%|          | 2/250 [00:00<00:08, 30.86it/s, loss=-158, v_num=91, train/objective=-158.]
Epoch 0:   1%|          | 2/250 [00:00<00:08, 30.68it/s, loss=-158, v_num=91, train/objective=-158.]
Epoch 0:   1%|          | 3/250 [00:00<00:07, 33.68it/s, loss=-158, v_num=91, train/objective=-158.]
Epoch 0:   1%|          | 3/250 [00:00<00:07, 33.55it/s, loss=-158, v_num=91, train/objective=-159.]
Epoch 0:   2%|▏         | 4/250 [00:00<00:06, 35.54it/s, loss=-158, v_num=91, train/objective=-159.]
Epoch 0:   2%|▏         | 4/250 [00:00<00:06, 35.42it/s, loss=-158, v_num=91, train/objective=-158.]
Epoch 0:   2%|▏         | 5/250 [00:00<00:06, 36.62it/s, loss=-158, v_num=91, train/objective=-158.]
Epoch 0:   2%|▏         | 5/250 [00:00<00:06, 36.52it/s, loss=-158, v_num=91, train/objective=-157.]
Epoch 0:   2%|▏         | 6/250 [00:00<00:06, 37.40it/s, loss=-158, v_num=91, train/objective=-157.]
Epoch 0:   2%|▏         | 6/250 [00:00<00:06, 37.32it/s, loss=-158, v_num=91, train/objective=-158.]
Epoch 0:   3%|▎         | 7/250 [00:00<00:06, 37.98it/s, loss=-158, v_num=91, train/objective=-158.]
Epoch 0:   3%|▎         | 7/250 [00:00<00:06, 37.91it/s, loss=-158, v_num=91, train/objective=-158.]
Epoch 0:   3%|▎         | 8/250 [00:00<00:06, 38.44it/s, loss=-158, v_num=91, train/objective=-158.]
Epoch 0:   3%|▎         | 8/250 [00:00<00:06, 38.37it/s, loss=-158, v_num=91, train/objective=-159.]
Epoch 0:   4%|▎         | 9/250 [00:00<00:06, 38.82it/s, loss=-158, v_num=91, train/objective=-159.]
Epoch 0:   4%|▎         | 9/250 [00:00<00:06, 38.76it/s, loss=-158, v_num=91, train/objective=-158.]
Epoch 0:   4%|▍         | 10/250 [00:00<00:06, 39.07it/s, loss=-158, v_num=91, train/objective=-158.]
Epoch 0:   4%|▍         | 10/250 [00:00<00:06, 39.01it/s, loss=-158, v_num=91, train/objective=-158.]
Epoch 0:   4%|▍         | 11/250 [00:00<00:06, 39.28it/s, loss=-158, v_num=91, train/objective=-158.]
Epoch 0:   4%|▍         | 11/250 [00:00<00:06, 39.23it/s, loss=-158, v_num=91, train/objective=-159.]
Epoch 0:   5%|▍         | 12/250 [00:00<00:06, 39.60it/s, loss=-158, v_num=91, train/objective=-159.]
Epoch 0:   5%|▍         | 12/250 [00:00<00:06, 39.55it/s, loss=-158, v_num=91, train/objective=-160.]
Epoch 0:   5%|▌         | 13/250 [00:00<00:05, 39.79it/s, loss=-158, v_num=91, train/objective=-160.]
Epoch 0:   5%|▌         | 13/250 [00:00<00:05, 39.75it/s, loss=-158, v_num=91, train/objective=-160.]
Epoch 0:   6%|▌         | 14/250 [00:00<00:05, 39.99it/s, loss=-158, v_num=91, train/objective=-160.]
Epoch 0:   6%|▌         | 14/250 [00:00<00:05, 39.95it/s, loss=-159, v_num=91, train/objective=-159.]
